est_prsnl_inc_third_quartile_pr100, slct_gov_pnsn_alw_pnsn_dva_num, est_p_inc_tot_own_unincorporated_bsns_inc_aud, est_prsnl_inc_lo_quartile_pr100, lga_code17, gross_capital_gains_rep_taxpayers_med_aud, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud1_499wk_pr100, est_p_inc_tot_inc_earners_excl_gov_pnsn_alw_med_age_yrs, slct_gov_pnsn_alw_fam_tax_bft_b_num, equiv_tot_hsld_inc_fam_lone_p_grp_hslds_med_wkly_aud, slct_gov_pnsn_alw_newstart_alw_num, est_p_inc_investment_inc_earners_med_age_yrs, est_p_inc_tot_investment_inc_aud, slct_gov_pnsn_alw_age_pnsn_dva_num, gross_capital_gains_rep_taxpayers_p_num, est_p_inc_avg_tot_inc_excl_gov_pnsn_aud, slct_gov_pnsn_alw_carer_payment_num, est_prsnl_inc_second_quartile_pr100, est_p_inc_tot_inc_excl_gov_pnsn_aud, est_p_inc_super_annuity_inc_earners_num, est_prsnl_inc_p20_p50_ratio, est_p_inc_investment_inc_asmnsrc_inc_pr100, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud1000_1999wk_pr100, est_prsnl_inc_gini_coefficient_num, ogc_fid, est_p_inc_avg_investment_inc_aud, est_p_inc_med_emply_inc_aud, est_p_inc_avg_super_annuity_inc_aud, slct_gov_pnsn_alw_fam_tax_bft_num, lga_name17, est_p_inc_tot_super_annuity_inc_aud, gross_capital_gains_rep_taxpayers_avg_aud, slct_gov_pnsn_alw_yth_alw_full_time_studts_apprentices_num, slct_gov_pnsn_alw_dsblty_supp_pnsn_num, est_p_inc_own_unincorporated_bsns_inc_asmnsrc_inc_pr100, slct_gov_pnsn_alw_prnting_payment_prtred_num, tot_p_inc_wkly_p_ov_15_yrs_p_earn_nil_inc_pr100, est_prsnl_inc_p80_p50_ratio, est_prsnl_inc_inc_share_top_5_pr100_earners_pr100, est_prsnl_inc_inc_share_top_10_pr100_earners_pr100, est_prsnl_inc_p80_p20_ratio, est_p_inc_tot_inc_earners_excl_gov_pnsn_num, est_prsnl_inc_inc_share_top_1_pr100_earners_pr100, slct_gov_pnsn_alw_age_pnsn_centrelink_num, est_prsnl_inc_p10_p50_ratio, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud3000_plswk_pr100, est_p_inc_super_annuity_inc_earners_med_age_yrs, est_p_inc_super_annuity_inc_asmnsrc_inc_pr100, est_p_inc_avg_own_unincorporated_bsns_inc_aud, est_p_inc_own_unincorporated_bsns_inc_earners_num, tot_p_inc_wkly_p_ov_15_yrs_p_negative_inc_pr100, slct_gov_pnsn_alw_inc_supp_supplement_dva_num, gross_capital_gains_rep_taxpayers_amount_audm, slct_gov_pnsn_alw_prnting_payment_single_num, slct_gov_pnsn_alw_yth_alw_oth_num, est_p_inc_med_investment_inc_aud, est_p_inc_emply_inc_earners_med_age_yrs, est_p_inc_med_tot_inc_excl_gov_pnsn_aud, est_p_inc_tot_emply_inc_aud, est_p_inc_emply_inc_asmnsrc_inc_pr100, est_p_inc_investment_inc_earners_num, est_p_inc_own_unincorporated_bsns_inc_earners_med_age_yrs, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud500_999wk_pr100, est_p_inc_med_super_annuity_inc_aud, yr, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud2000_2999wk_pr100, est_prsnl_inc_hi_quartile_pr100, est_p_inc_med_own_unincorporated_bsns_inc_aud, est_p_inc_emply_inc_earners_num, est_p_inc_avg_emply_inc_aud
22.6,14,37603811,29.1,"10800",1697,30.2,48,302,715,139,51,15959720,null,200,52215,73,28.1,156958044,53,0.37,12.2,17.7,0.495,72,7228,37929,17349,393,"Bland (A)",919512,55501,9,238,23.5,null,6.4,1.98,20.5,32.3,5.41,3006,7.3,807,0.14,2.3,59,0.8,33015,1139,0.8,27,11.1,75,24,470,41,40728,109057227,63.4,2208,53,24.3,10018,2016,3.3,20.2,18573,2339,46626
24.0,56,14386603,26.3,"10850",1971,31.4,46,386,768,223,49,17680468,null,248,55139,78,26.8,203684435,89,0.37,11.5,20.9,0.471,79,6906,46806,23696,497,"Blayney (A)",2108912,32417,27,270,11.8,null,6.8,1.91,19.7,30.8,5.21,3694,7.5,892,0.14,1.8,58,1.4,14132,1018,0.7,17,8.0,108,38,207,42,45397,180799362,74.8,2560,53,24.3,16235,2016,4.2,23.0,4244,3307,54672
22.6,380,170981156,26.0,"10900",3010,28.2,47,3625,911,1942,50,190642303,6,2959,59537,639,24.0,2676320265,1743,0.35,13.5,24.1,0.461,86,5718,51018,28991,4482,"Blue Mountains (C)",50532094,34652,546,2567,8.5,null,7.6,1.97,18.8,29.9,5.57,44952,6.5,10135,0.14,2.5,59,2.1,23668,7224,0.3,193,102.5,680,186,301,43,47705,2413506304,75.1,33342,49,23.9,21448,2016,6.1,27.4,11062,39915,60466
24.6,4,19794861,26.2,"10950",2101,28.9,45,175,767,114,49,7467726,null,70,59186,18,23.7,92803415,null,0.36,9.4,21.4,0.487,93,7025,42090,null,208,"Bogan (A)",null,74890,7,85,19.3,null,6.3,1.86,20.8,31.9,5.21,1568,7.0,353,0.13,2.7,null,null,39198,505,1.1,8,5.2,62,14,418,40,47806,68481495,70.3,1063,53,21.1,null,2016,3.9,25.5,22164,1323,51762
29.6,6,8334179,23.9,"11150",21389,22.6,44,250,849,172,46,4236569,null,28,53931,49,23.6,64501909,22,0.39,8.7,20.5,0.465,100,5431,47537,14368,293,"Bourke (A)",316101,100661,null,126,15.0,null,5.6,1.72,17.0,27.8,4.41,1196,5.5,248,0.13,1.3,56,0.7,26208,318,0.5,6,2.8,121,47,236,40,49471,56417828,75.2,780,51,21.6,9860,2016,3.3,22.8,10084,1124,50194
28.2,null,3100509,26.4,"11200",null,41.6,45,178,538,162,51,690211,null,null,49335,49,27.5,26887546,null,0.37,6.3,13.3,0.432,107,2422,43251,null,197,"Brewarrina (A)",null,null,null,147,15.7,null,5.6,1.72,15.5,26.4,4.68,545,4.7,123,0.12,0.5,null,null,20949,148,0.6,null,null,93,25,342,40,45005,25743922,76.9,285,54,19.2,null,2016,2.3,17.9,6593,544,47323
26.5,92,38928922,29.4,"14200",2549,37.1,45,1282,619,712,49,38421984,null,507,46353,288,30.4,371102237,187,0.34,13.8,14.6,0.466,134,7130,40715,25861,1578,"Inverell (A)",4835991,39872,52,979,13.0,null,6.0,1.68,19.6,30.7,4.89,8006,7.4,2558,0.12,1.0,58,1.2,18953,2054,0.7,79,20.2,381,169,276,40,40664,305283316,71.7,5389,53,27.5,16570,2016,1.8,13.7,7319,6996,43637
24.7,95,20947334,24.2,"11250",1121,35.9,45,1273,648,1062,49,19986633,4,378,56771,347,25.4,473523244,231,0.38,9.9,18.0,0.424,114,3877,47574,23530,1431,"Broken Hill (C)",5435437,18260,49,1334,5.5,null,5.9,1.86,15.9,26.6,4.85,8341,5.1,3021,0.17,1.2,57,1.2,23536,890,0.4,95,6.9,438,202,138,42,48050,452361192,83.2,5155,51,21.8,10000,2016,4.1,25.7,9171,8228,54978
17.3,46,109233169,20.5,"14100",5130,18.3,48,190,1525,102,49,352758216,null,1356,136108,48,17.5,1146848855,236,0.31,28.2,21.3,0.637,121,48283,65042,33614,223,"Hunters Hill (A)",7932804,106491,70,222,6.9,null,11.7,2.38,39.4,51.0,7.64,8426,20.4,1101,0.14,15.0,61,1.2,81214,1345,0.6,28,144.4,21,null,2723,43,69912,728379178,62.6,7306,51,15.1,25191,2016,8.3,44.7,16736,6849,106348
23.5,309,624098349,19.6,"14170",2480,20.3,39,4675,1315,4014,40,745490110,null,8169,81021,1160,21.0,9303362197,2179,0.39,9.9,27.0,0.491,127,8508,59648,28975,5614,"Inner West (A)",63137205,45780,2182,4479,7.5,null,7.2,1.92,24.3,35.5,4.92,114827,10.4,14465,0.2,7.5,59,0.9,35500,17580,0.4,144,374.0,740,248,344,37,59101,8671111529,81.2,87627,43,19.0,19711,2016,9.3,35.9,12490,112844,76842
