est_prsnl_inc_third_quartile_pr100, slct_gov_pnsn_alw_pnsn_dva_num, est_p_inc_tot_own_unincorporated_bsns_inc_aud, est_prsnl_inc_lo_quartile_pr100, lga_code17, gross_capital_gains_rep_taxpayers_med_aud, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud1_499wk_pr100, est_p_inc_tot_inc_earners_excl_gov_pnsn_alw_med_age_yrs, slct_gov_pnsn_alw_fam_tax_bft_b_num, equiv_tot_hsld_inc_fam_lone_p_grp_hslds_med_wkly_aud, slct_gov_pnsn_alw_newstart_alw_num, est_p_inc_investment_inc_earners_med_age_yrs, est_p_inc_tot_investment_inc_aud, slct_gov_pnsn_alw_age_pnsn_dva_num, gross_capital_gains_rep_taxpayers_p_num, est_p_inc_avg_tot_inc_excl_gov_pnsn_aud, slct_gov_pnsn_alw_carer_payment_num, est_prsnl_inc_second_quartile_pr100, est_p_inc_tot_inc_excl_gov_pnsn_aud, est_p_inc_super_annuity_inc_earners_num, est_prsnl_inc_p20_p50_ratio, est_p_inc_investment_inc_asmnsrc_inc_pr100, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud1000_1999wk_pr100, est_prsnl_inc_gini_coefficient_num, ogc_fid, est_p_inc_avg_investment_inc_aud, est_p_inc_med_emply_inc_aud, est_p_inc_avg_super_annuity_inc_aud, slct_gov_pnsn_alw_fam_tax_bft_num, lga_name17, est_p_inc_tot_super_annuity_inc_aud, gross_capital_gains_rep_taxpayers_avg_aud, slct_gov_pnsn_alw_yth_alw_full_time_studts_apprentices_num, slct_gov_pnsn_alw_dsblty_supp_pnsn_num, est_p_inc_own_unincorporated_bsns_inc_asmnsrc_inc_pr100, slct_gov_pnsn_alw_prnting_payment_prtred_num, tot_p_inc_wkly_p_ov_15_yrs_p_earn_nil_inc_pr100, est_prsnl_inc_p80_p50_ratio, est_prsnl_inc_inc_share_top_5_pr100_earners_pr100, est_prsnl_inc_inc_share_top_10_pr100_earners_pr100, est_prsnl_inc_p80_p20_ratio, est_p_inc_tot_inc_earners_excl_gov_pnsn_num, est_prsnl_inc_inc_share_top_1_pr100_earners_pr100, slct_gov_pnsn_alw_age_pnsn_centrelink_num, est_prsnl_inc_p10_p50_ratio, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud3000_plswk_pr100, est_p_inc_super_annuity_inc_earners_med_age_yrs, est_p_inc_super_annuity_inc_asmnsrc_inc_pr100, est_p_inc_avg_own_unincorporated_bsns_inc_aud, est_p_inc_own_unincorporated_bsns_inc_earners_num, tot_p_inc_wkly_p_ov_15_yrs_p_negative_inc_pr100, slct_gov_pnsn_alw_inc_supp_supplement_dva_num, gross_capital_gains_rep_taxpayers_amount_audm, slct_gov_pnsn_alw_prnting_payment_single_num, slct_gov_pnsn_alw_yth_alw_oth_num, est_p_inc_med_investment_inc_aud, est_p_inc_emply_inc_earners_med_age_yrs, est_p_inc_med_tot_inc_excl_gov_pnsn_aud, est_p_inc_tot_emply_inc_aud, est_p_inc_emply_inc_asmnsrc_inc_pr100, est_p_inc_investment_inc_earners_num, est_p_inc_own_unincorporated_bsns_inc_earners_med_age_yrs, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud500_999wk_pr100, est_p_inc_med_super_annuity_inc_aud, yr, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud2000_2999wk_pr100, est_prsnl_inc_hi_quartile_pr100, est_p_inc_med_own_unincorporated_bsns_inc_aud, est_p_inc_emply_inc_earners_num, est_p_inc_avg_emply_inc_aud
23.7,5,6611882,28.4,"19399",2655,22.3,47,59,830,45,51,2665739,null,27,52357,10,29.0,25340859,null,0.42,13.4,22.1,0.502,847,7795,33721,null,90,"Unincorporated NSW",null,21524,null,37,20.2,null,5.6,1.93,21.5,33.7,4.58,484,null,182,0.16,3.0,null,null,40814,162,2.5,null,0.6,null,null,868,44,40677,17364151,65.4,342,52,27.2,null,2016,3.8,18.9,18256,421,41245
23.7,110,25029143,32.9,"20110",2404,34.8,49,587,676,339,52,38023876,4,504,44247,133,29.4,316545753,264,0.35,17.8,17.5,0.468,854,7005,36999,26603,795,"Alpine (S)",7023194,23085,39,433,12.0,null,5.1,1.91,18.7,30.0,5.5,7154,6.2,2168,0.13,1.2,59,1.8,14197,1763,0.5,30,11.6,100,30,497,44,36669,258239789,67.8,5428,53,27.8,14271,2016,2.3,14.0,7796,5984,43155
25.7,63,18398995,30.6,"20260",1662,32.7,47,622,674,489,51,26224314,null,399,45459,164,28.9,270296302,198,0.36,15.2,15.8,0.451,861,6333,40508,20701,816,"Ararat (RC)",4098802,17767,37,665,9.4,null,4.9,1.8,17.2,28.3,4.93,5946,5.3,1882,0.13,1.1,58,1.7,15256,1206,0.6,45,7.1,134,76,356,42,39668,231104860,73.3,4141,54,26.5,10000,2016,2.0,14.7,6741,5161,44779
26.9,479,161445722,25.9,"20570",2033,33.1,43,6500,746,3966,45,324114790,null,3515,54393,1504,27.1,2933517911,1643,0.38,13.9,20.2,0.454,868,8469,44699,22262,8005,"Ballarat (C)",36576504,29068,2219,5294,6.4,null,6.8,1.78,20.4,30.8,4.66,53932,8.4,12497,0.16,1.8,58,1.4,23093,6991,0.4,332,102.2,1589,736,189,39,44953,2506154904,77.9,38269,47,25.8,13017,2016,3.1,20.1,9090,49164,50975
24.5,559,244930316,23.6,"20660",2156,26.4,43,4707,1002,2615,45,585551943,14,6301,65721,892,22.9,4786047521,2474,0.37,16.3,25.2,0.472,875,10310,52743,27757,5725,"Banyule (C)",68671920,36426,1478,3402,6.4,null,8.8,1.87,21.5,32.5,5.04,72824,8.5,13158,0.16,3.8,59,1.6,26235,9336,0.4,354,229.5,700,247,455,40,51515,4144221669,75.1,56792,45,22.1,20632,2016,6.2,28.9,10990,65521,63250
21.4,293,75399429,33.1,"20740",3108,38.0,49,2001,625,1425,53,96372418,8,1268,44549,420,31.4,756713226,623,0.35,18.2,15.1,0.475,882,7923,37048,24084,2541,"Bass Coast (S)",15004492,34271,123,1657,13.9,null,5.7,1.89,20.0,31.6,5.43,16986,6.5,6391,0.14,1.4,59,2.1,19254,3916,0.5,126,43.5,455,146,387,44,35998,599025409,65.2,12163,51,26.7,14478,2016,2.1,14.2,13712,13569,44147
24.5,284,91284383,28.5,"20830",2632,32.2,46,2822,746,1485,49,138552713,8,1814,51058,514,27.8,1374120849,822,0.36,15.1,19.3,0.467,889,7360,43928,20321,3603,"Baw Baw (S)",16704202,29366,327,1789,11.2,null,7.5,1.87,19.1,30.4,5.12,26913,6.2,6617,0.14,1.8,58,1.4,15383,5934,0.6,121,53.3,611,191,263,41,41961,1178300057,71.8,18824,52,25.9,11437,2016,3.3,19.2,8703,22872,51517
19.0,333,427000742,23.1,"20910",3647,21.7,48,1776,1303,1015,49,1461662535,11,9164,99195,303,19.6,6231147537,2328,0.33,27.8,22.5,0.581,896,27426,56121,31091,2234,"Bayside (C)",72380975,91328,683,1645,6.9,null,9.4,2.33,31.3,43.4,7.05,62817,14.1,7955,0.14,11.8,60,1.6,47345,9019,0.4,344,836.9,265,67,1951,44,58909,4522716653,62.5,53295,50,17.8,21682,2016,8.4,38.4,13459,50393,89749
24.9,97,22910713,32.2,"21010",2289,35.9,50,884,645,508,53,37814308,null,596,45470,216,27.9,338208100,300,0.32,17.0,16.5,0.469,903,6917,41197,22634,1087,"Benalla (RC)",6790050,29198,71,739,11.2,null,5.8,1.83,18.5,29.7,5.64,7438,6.1,2519,0.11,1.2,59,1.9,12900,1776,0.5,64,17.4,217,65,343,44,38821,284760697,69.5,5467,55,27.2,16383,2016,2.0,15.0,5818,6207,45877
19.6,324,1010225740,23.9,"21110",3395,21.0,45,2889,1298,1543,46,2362254465,6,16791,95770,385,19.5,10526212017,3424,0.33,26.4,23.4,0.584,910,25002,54004,34469,3636,"Boroondara (C)",118022942,94601,2409,2191,6.6,null,11.5,2.26,31.7,43.9,6.91,109911,14.3,10114,0.14,10.5,60,1.4,64630,15631,0.4,240,1588.5,246,88,1682,39,57306,7394484048,64.7,94482,48,17.8,22984,2016,8.2,37.0,13633,90644,81577
28.4,1011,242627285,26.6,"21180",3341,33.3,39,14617,700,9822,40,222952975,6,3490,48627,3947,29.1,4841172390,1858,0.41,8.7,17.5,0.411,917,3600,43917,20671,17090,"Brimbank (C)",38406914,38057,3463,7016,8.4,null,12.5,1.7,16.3,26.9,4.17,99557,5.1,21133,0.19,0.8,57,0.9,18606,13040,0.9,128,132.8,2622,836,146,37,42978,4574501386,81.7,61923,39,24.1,10353,2016,2.2,15.9,13427,94621,48346
21.1,35,-394360,42.9,"21270",1539,38.6,51,312,570,216,53,19295861,null,321,34346,111,25.2,116157792,100,0.16,25.0,14.3,0.639,924,7149,33757,16707,424,"Buloke (S)",1670704,22022,22,323,12.1,null,7.0,2.15,21.0,34.3,13.2,3382,7.0,1143,0.01,0.9,58,1.6,-351,1123,1.4,47,7.1,44,14,724,44,28980,99931451,60.8,2699,55,23.8,9960,2016,1.1,10.8,520,2557,39082
25.7,206,51174674,31.1,"21370",2323,33.7,46,2273,693,1289,50,106522832,5,1450,45443,505,28.0,946208762,584,0.33,16.1,17.7,0.471,931,7248,41568,19713,2925,"Campaspe (S)",11512257,36329,168,1676,10.3,null,6.2,1.79,18.1,29.2,5.42,20822,6.1,6078,0.11,1.1,58,1.1,11144,4592,0.7,156,52.7,532,182,306,42,39782,816110286,72.1,14696,53,27.5,10564,2016,2.1,15.3,5428,17830,45772
29.4,312,157722791,22.5,"21450",3230,26.6,40,6564,864,2273,42,215110806,6,2127,54332,825,28.0,2825463732,1184,0.43,9.9,24.1,0.413,938,6287,46938,22264,8204,"Cardinia (S)",26360195,77662,746,2274,8.4,null,9.0,1.69,17.3,27.6,3.94,52004,6.1,7800,0.21,1.5,57,1.0,19864,7940,0.5,120,165.2,1401,322,97,38,47316,2565576756,80.2,34213,45,26.6,12194,2016,3.6,20.2,11350,48936,52427
30.1,753,458195882,22.7,"21610",3344,26.9,40,22147,842,8514,41,468083253,18,5662,52989,3746,28.5,8572543704,3156,0.43,8.0,22.6,0.403,945,4550,47492,22090,27642,"Casey (C)",69717410,41052,3576,8652,8.4,null,11.7,1.67,16.8,27.1,3.87,161779,5.7,22399,0.22,1.2,58,0.9,20215,22666,0.7,280,232.4,3313,1092,79,38,46719,7939273905,82.3,102866,40,26.2,11089,2016,3.2,18.7,13543,152575,52035
24.6,107,12511631,34.4,"21670",1352,45.1,48,871,519,790,51,19043698,null,340,40020,371,31.1,224392854,218,0.31,15.3,10.5,0.464,952,4869,37347,21205,1084,"Central Goldfields (S)",4622598,18320,60,1102,9.8,null,6.1,1.76,18.3,29.2,5.6,5607,6.5,3052,0.11,0.6,58,2.5,12112,1033,0.6,79,6.2,195,118,230,43,35144,197341449,71.9,3911,54,26.1,11878,2016,1.1,9.9,6706,4875,40480
27.4,116,42908787,30.2,"21750",2806,33.8,46,1192,695,713,50,72822579,null,783,45677,225,28.5,567219966,425,0.34,16.6,18.0,0.46,959,8295,40309,18596,1605,"Colac-Otway (S)",7903463,32251,88,1053,11.4,null,5.5,1.73,18.7,29.5,5.13,12418,6.8,3065,0.12,1.3,58,1.4,15407,2785,0.8,67,25.3,233,96,319,41,39721,462257104,70.1,8779,54,28.8,10000,2016,1.9,13.8,6983,10457,44206
24.3,71,56698967,32.3,"21830",1916,34.3,48,834,669,453,50,51350468,4,754,44116,171,28.2,401013379,229,0.32,17.1,17.4,0.498,966,7560,38374,19667,1120,"Corangamite (S)",4503851,32966,62,676,19.6,null,6.3,1.86,18.5,30.2,5.85,9090,5.8,2295,0.1,1.9,58,1.1,18126,3128,1.1,64,24.9,162,57,476,42,37852,302337687,61.8,6792,54,25.8,10502,2016,2.1,15.2,11768,6918,43703
26.3,362,267787032,24.0,"21890",2221,29.2,38,5958,902,4782,40,380848649,12,4637,59598,1666,25.0,4874549434,1678,0.39,10.6,22.7,0.446,973,6331,48779,24113,7166,"Darebin (C)",40461925,30843,2707,5440,7.6,null,8.9,1.82,19.2,30.3,4.64,81790,6.8,16208,0.19,2.8,58,1.0,21314,12564,0.5,268,143.0,944,366,255,36,48679,4532107068,80.3,60157,40,21.7,14926,2016,5.0,24.7,10224,79100,57296
22.8,457,90566945,32.4,"22110",2416,37.5,50,2636,621,2103,53,121044114,null,1644,44876,774,30.5,1038250921,865,0.34,17.1,15.0,0.476,980,7284,37835,24146,3362,"East Gippsland (S)",20886433,24629,176,2532,12.0,null,5.6,1.85,20.0,31.3,5.47,23136,6.9,9002,0.12,1.2,59,2.2,17008,5325,0.6,169,40.5,594,234,374,44,37018,846333852,68.1,16617,55,26.4,16156,2016,1.8,14.2,8813,19127,44248
29.5,810,195774409,22.8,"22170",2855,28.5,42,9157,836,4904,44,244680458,25,3354,53979,1497,27.7,4042947719,2261,0.42,9.9,23.2,0.41,987,4922,47678,21518,11041,"Frankston (C)",48653085,29908,1318,5577,7.1,null,7.8,1.69,16.9,27.3,4.0,74898,5.6,15119,0.2,1.4,58,1.5,21218,9227,0.4,329,100.3,2005,615,116,40,47260,3785881584,81.0,49711,44,26.2,13253,2016,3.4,19.9,13766,71105,53244
23.5,75,15670596,34.4,"22250",2882,38.2,49,572,610,372,52,33680175,null,492,40388,161,30.3,226175022,143,0.3,20.3,13.9,0.518,994,7880,37360,22548,786,"Gannawarra (S)",3224353,52007,28,508,14.2,null,6.0,1.79,19.2,30.9,6.01,5600,6.4,2084,0.07,1.1,58,1.2,9350,1676,0.9,68,25.6,111,54,585,44,35804,182713795,64.1,4274,54,28.3,14253,2016,1.4,11.8,5612,4449,41069
27.1,249,77330317,28.3,"22830",1621,31.4,43,4510,734,2571,47,180077579,6,2186,48405,1058,28.6,1702660343,944,0.38,13.5,19.1,0.446,1001,7583,41557,19934,5703,"Greater Shepparton (C)",18817969,38357,468,3302,8.3,null,6.9,1.75,18.4,29.1,4.67,35175,6.7,7818,0.16,1.3,58,1.1,12841,6022,0.7,179,83.8,1061,391,221,39,41806,1487846534,76.7,23746,50,26.5,10000,2016,2.5,16.0,7448,32186,46227
23.4,88,28479028,31.9,"22910",3457,35.4,49,876,662,601,52,50375084,null,567,47711,205,28.6,385698096,309,0.35,16.6,16.1,0.494,1008,8684,40663,23116,1099,"Hepburn (S)",7142877,29152,83,791,13.6,null,6.3,1.91,21.6,32.8,5.49,8084,8.6,2490,0.12,1.6,59,2.3,13926,2045,0.5,51,16.5,165,47,335,45,37838,315750388,66.5,5801,53,25.8,16744,2016,2.6,16.0,8736,6511,48495
23.4,35,4447137,36.1,"22980",1178,37.8,50,266,615,205,53,16794958,null,223,38828,96,28.2,115822593,106,0.23,22.2,15.1,0.59,1015,7283,39591,20164,355,"Hindmarsh (S)",2137355,22256,21,333,14.0,null,6.6,1.81,20.4,32.9,7.72,2983,6.4,1013,0.03,1.3,58,1.7,4571,973,1.2,28,5.0,35,27,710,43,36147,95848507,61.6,2306,54,27.0,13926,2016,1.7,12.2,3839,2244,42713
26.6,299,147820528,21.4,"23110",2732,27.5,41,4182,960,2773,43,269286768,10,3238,65766,1059,23.2,3306782921,1351,0.4,11.7,24.0,0.445,1022,7391,54226,23596,4879,"Hobsons Bay (C)",31878159,37675,913,2588,6.9,null,9.2,1.81,19.5,30.5,4.59,50281,7.1,9602,0.2,3.7,58,1.3,22907,6453,0.6,136,122.0,667,248,257,39,53505,3060701643,79.8,36434,43,20.7,15990,2016,6.3,28.8,11980,47498,64439
26.2,90,18631665,30.0,"23190",1576,31.8,46,1194,720,624,49,76258792,null,985,45744,202,28.3,532550301,322,0.32,19.3,19.4,0.486,1029,8672,42104,16580,1568,"Horsham (RC)",5338802,28504,144,914,8.8,null,5.2,1.76,18.3,29.6,5.54,11642,6.2,2692,0.1,1.4,58,1.0,7617,2446,0.7,74,28.1,263,104,457,41,41072,447892922,70.6,8794,53,30.4,9739,2016,2.6,15.5,4319,9876,45352
29.1,380,249840907,24.2,"23270",2908,32.2,39,16330,756,8502,41,275033072,10,3203,51585,5684,28.6,5003383535,2330,0.43,8.4,19.6,0.408,1036,4599,46351,23247,19256,"Hume (C)",54166218,70634,3085,7983,9.1,null,11.4,1.7,16.5,26.9,3.98,96993,5.3,16098,0.21,1.0,58,1.2,18078,13820,0.9,149,226.2,2437,990,106,37,45331,4638171942,81.0,59799,39,24.1,12417,2016,2.6,18.2,13906,90768,51099
27.2,112,31405479,26.9,"23350",1980,30.3,48,799,796,390,51,47862246,5,722,50730,141,26.7,480408635,407,0.35,14.7,22.5,0.444,1043,6820,45779,25344,1065,"Indigo (S)",10314979,36642,71,487,10.7,null,6.2,1.76,17.4,28.1,4.98,9470,5.8,2215,0.13,1.3,58,2.1,13655,2300,0.3,48,26.5,129,41,312,45,44465,409014501,71.9,7018,53,26.2,19761,2016,3.0,19.2,5282,8127,50328
26.2,657,257144407,23.6,"23430",2316,26.9,43,6078,946,3202,45,483714429,19,6408,60309,1121,24.6,5380591264,2614,0.39,14.2,24.6,0.448,1050,7166,51198,25256,7573,"Kingston (C) (Vic.)",66019961,30190,1466,4128,7.1,null,8.9,1.83,19.0,30.1,4.67,89217,6.6,18106,0.18,2.9,59,1.5,22227,11569,0.4,402,193.5,797,235,298,40,49506,4872668504,76.6,67501,45,22.9,16966,2016,5.6,25.6,13112,80938,60202
27.4,595,235210143,24.1,"23670",2104,28.0,43,7642,905,3551,45,340452976,15,5644,55495,1175,26.4,5134504019,2521,0.4,12.3,24.2,0.429,1057,4912,48692,21135,9678,"Knox (C)",53281736,27425,1660,4124,6.5,null,10.1,1.77,17.6,28.4,4.43,92522,5.8,17225,0.17,1.8,59,1.2,21541,10919,0.4,243,154.8,1139,397,216,40,47258,4760035378,79.5,69308,45,24.7,12602,2016,4.4,22.1,12374,85382,55750
24.0,364,69123418,25.2,"23810",1723,34.2,44,4986,706,4016,47,128176982,10,2179,58647,1260,26.0,2162893310,1123,0.38,11.6,17.5,0.46,1064,5198,47051,19867,5805,"Latrobe (C) (Vic.)",22310251,18690,625,4501,5.9,null,7.3,1.96,18.4,30.4,5.19,36880,5.5,10096,0.16,2.0,57,1.5,15934,4338,0.5,194,40.7,1489,692,172,40,46527,2027424430,80.8,24658,49,23.6,10000,2016,4.0,24.8,7826,34640,58528
21.2,56,11259145,40.4,"23940",1422,40.2,51,398,552,322,53,15829586,null,273,37264,187,28.1,134597804,117,0.24,19.8,12.7,0.569,1071,5920,36936,17310,523,"Loddon (S)",2025289,35920,38,522,17.5,null,6.1,1.95,21.9,34.0,8.25,3612,8.7,1412,0.03,0.8,58,1.4,8371,1345,1.1,37,9.8,65,33,597,45,30965,111392420,60.7,2674,55,24.1,9706,2016,1.1,10.3,4357,2680,41564
23.6,180,82471167,24.8,"24130",3089,26.1,46,1874,953,811,48,189989248,6,2018,62307,324,24.3,1664280247,975,0.37,16.0,23.1,0.474,1078,9653,50597,27446,2433,"Macedon Ranges (S)",26759897,51313,251,1059,8.6,null,8.8,1.93,20.4,31.8,5.18,26711,7.5,4676,0.15,3.7,59,1.8,17290,4770,0.4,102,103.6,285,85,306,43,48734,1454596970,73.0,19681,49,22.7,19033,2016,6.0,27.3,8119,23396,62173
21.0,357,263997659,28.4,"24210",2690,27.6,47,3702,944,1684,48,936505053,13,7669,65099,735,23.7,4648268289,1951,0.34,25.4,21.6,0.526,1085,15651,47275,26434,4818,"Manningham (C)",51572719,56793,1279,1826,7.0,null,12.3,2.11,25.0,37.1,6.15,71403,10.5,14052,0.13,4.5,60,1.3,27972,9438,0.5,200,435.5,311,105,1102,42,45208,3614724124,65.6,59837,48,21.2,18406,2016,5.7,26.9,13630,57970,62355
21.1,39,18586951,34.5,"24250",3166,32.2,50,408,709,206,52,36622637,null,488,44666,70,30.1,219174950,189,0.33,19.1,18.9,0.502,1092,9965,35491,29014,556,"Mansfield (S)",5483716,41783,23,250,15.0,null,6.7,1.97,21.6,33.2,6.05,4907,7.9,1331,0.11,1.3,59,2.1,12845,1447,0.6,19,20.4,62,18,459,44,34811,164829906,63.1,3675,53,27.0,20340,2016,2.7,14.3,7346,3844,42880
26.2,534,131762642,23.3,"24330",2408,26.4,36,3535,975,3517,37,137426513,null,2176,59248,841,25.0,2809189015,778,0.4,7.7,24.0,0.433,1099,4214,49170,21302,4086,"Maribyrnong (C)",16573045,32365,1693,2511,7.1,null,9.7,1.81,17.8,28.8,4.55,47414,5.8,6016,0.2,2.9,57,0.7,19368,6803,0.6,79,70.4,566,271,147,35,49523,2739987653,84.2,32609,38,21.4,12881,2016,5.9,25.5,9094,47644,57510
26.7,454,155857006,24.1,"24410",1900,27.8,43,5422,936,2617,45,279366511,21,4434,57194,662,25.2,3711248956,1960,0.39,13.2,25.2,0.434,1106,5787,49694,25073,6763,"Maroondah (C)",49142358,24755,1091,3415,6.5,null,8.4,1.79,17.5,28.5,4.63,64889,5.5,12185,0.17,2.3,59,1.5,19847,7853,0.4,278,109.8,801,312,242,40,48386,3416473941,78.3,48274,44,24.2,16059,2016,5.2,24.0,11304,59572,57350
22.0,97,332146642,29.0,"24600",3448,19.1,32,2050,970,2452,33,773966361,null,5258,70094,338,21.3,5515073959,1103,0.31,11.5,21.5,0.55,1113,13721,40179,33393,2326,"Melbourne (C)",36832724,114383,2757,2103,5.3,null,18.8,2.04,29.0,40.3,6.51,78681,14.4,3362,0.14,4.7,59,0.6,35531,9348,0.8,32,601.4,360,181,261,30,47273,4740734977,82.0,56407,37,16.3,20674,2016,6.3,27.7,8289,82783,57267
30.7,309,154604124,21.3,"24650",3237,26.1,39,10324,850,4435,40,130887969,null,2038,54876,2136,26.7,3792467095,1422,0.43,7.2,23.8,0.39,1120,3103,49779,21779,12579,"Melton (C)",30969857,32865,1395,4068,7.0,null,11.1,1.66,15.3,25.6,3.85,69110,4.6,8593,0.23,1.2,57,1.0,19170,8065,0.7,104,67.0,2152,574,73,38,49402,3621885760,84.5,42186,40,24.5,11294,2016,3.5,21.3,13035,66786,54231
26.3,307,119192465,28.5,"24780",2299,33.7,44,3853,681,2616,47,129528474,15,1827,47926,914,29.5,1390993315,777,0.37,12.2,17.5,0.45,1127,6769,39421,22144,4867,"Mildura (RC)",17205577,29948,338,2938,10.3,null,6.6,1.76,18.5,29.3,4.75,29024,6.5,7383,0.16,1.2,58,1.2,20992,5678,0.6,217,54.7,985,454,202,39,41184,1177757761,76.0,19136,52,26.8,13211,2016,2.0,15.7,9517,26683,44139
28.9,204,43147831,23.3,"24850",2362,27.8,43,2824,823,1335,45,71497279,null,976,53408,517,27.2,1140682035,736,0.42,10.1,22.4,0.411,1134,5195,47849,26907,3401,"Mitchell (S)",19803327,27450,299,1458,7.2,null,8.6,1.72,16.0,26.5,4.12,21358,5.0,3973,0.2,1.2,58,1.9,14059,3069,0.6,70,26.8,630,199,108,40,47325,1061595631,80.4,13764,47,24.8,19113,2016,3.3,20.6,8103,20071,52892
24.9,245,49941281,31.8,"24900",2369,36.1,47,1733,654,1026,50,74129877,8,1038,44027,488,28.9,678453408,486,0.33,16.3,16.6,0.484,1141,6811,40056,20906,2258,"Moira (S)",10160149,28518,111,1390,12.2,null,5.8,1.83,18.2,29.5,5.57,15410,6.3,5345,0.1,1.2,59,1.6,13542,3688,0.7,142,29.6,415,120,239,41,38265,571905740,69.6,10884,52,26.2,13000,2016,1.7,14.4,7907,12970,44095
23.0,597,327210419,28.9,"24970",2433,27.7,43,6309,878,2925,45,722962886,18,9362,58286,1166,23.6,5998251358,2764,0.33,19.4,21.0,0.492,1148,8701,47403,26460,8078,"Monash (C)",73134843,31711,2832,3544,6.8,null,15.2,1.99,21.1,32.9,5.99,102911,7.8,20168,0.13,2.9,62,1.4,24965,13107,0.7,382,296.9,591,243,534,38,44817,5184517513,71.8,83090,45,20.6,19313,2016,5.4,24.5,12113,89816,57724
24.6,306,236756000,22.1,"25060",2577,26.3,42,3845,1034,2832,43,589058554,11,5728,69316,1032,22.5,4791426921,2153,0.38,15.3,24.7,0.47,1155,10897,53610,26074,4662,"Moonee Valley (C)",56137350,40229,1598,2756,6.0,null,8.5,1.86,21.4,32.8,4.95,69124,8.2,12842,0.18,4.6,59,1.6,28015,8451,0.5,190,230.4,639,222,460,38,53959,4163790715,76.6,54056,44,20.3,18841,2016,6.6,30.7,10944,63711,65354
26.9,132,43920344,23.5,"25150",2430,29.1,44,1806,824,947,46,76208832,null,923,56903,413,25.6,998028699,540,0.4,12.0,22.9,0.428,1162,6404,49388,24369,2258,"Moorabool (S)",13159214,28427,219,1014,7.2,null,8.8,1.78,17.2,27.9,4.44,17539,5.7,3397,0.18,1.6,58,1.5,17096,2569,0.6,62,26.2,381,145,145,41,48582,908212116,78.9,11901,48,23.9,15883,2016,4.2,24.0,8120,16142,56264
26.3,321,273154880,23.5,"25250",2180,28.2,37,6863,942,4943,38,342812118,7,4947,58512,2122,25.2,5406308120,1898,0.4,9.9,24.4,0.434,1169,5166,49893,24858,8207,"Moreland (C)",47180368,29449,2883,5200,7.8,null,8.7,1.8,17.8,28.8,4.52,92396,5.9,17659,0.19,2.5,59,1.0,19838,13769,0.5,299,145.7,876,441,215,35,49012,5125847690,80.9,66361,38,22.0,15559,2016,5.4,24.9,10494,89061,57554
23.1,1150,368123205,27.5,"25340",3738,30.0,48,7788,807,4038,51,964101477,43,7679,59164,1427,26.8,5247328191,3508,0.37,20.5,20.8,0.504,1176,14700,43589,26461,9715,"Mornington Peninsula (S)",92826879,68146,933,5115,9.4,null,7.2,1.96,24.5,35.7,5.27,88691,10.7,24934,0.15,2.9,59,2.0,25639,14358,0.4,596,523.3,1589,409,438,43,43223,4004724762,67.0,65586,48,25.7,18107,2016,4.0,22.6,14897,73045,54825
24.8,121,32730071,32.4,"25430",2290,33.8,50,1086,667,718,53,53822832,6,799,45996,181,26.8,443816377,345,0.31,18.4,16.5,0.474,1183,7654,41605,24723,1363,"Mount Alexander (S)",8529289,25900,77,914,11.9,null,5.5,1.87,18.7,30.0,5.97,9649,6.3,3062,0.11,1.4,59,1.9,14419,2270,0.4,71,20.7,167,64,389,45,38383,370375056,67.1,7032,53,25.3,15448,2016,2.5,16.0,7711,7868,47074
25.8,74,81336362,29.3,"25490",2022,30.0,47,855,751,413,49,64735572,10,834,48930,166,27.9,472272894,236,0.36,16.2,21.0,0.477,1190,9064,40104,23464,1209,"Moyne (S)",5537518,46946,68,500,19.5,null,6.5,1.82,19.9,30.8,5.11,9652,7.7,1863,0.13,1.9,58,1.1,25307,3214,0.9,38,39.2,142,29,446,41,41085,335645436,62.6,7142,53,26.5,12000,2016,2.7,17.1,15517,7392,45407
23.8,98,29271258,32.1,"25620",2425,33.5,49,714,701,415,51,42275659,4,536,46452,166,28.8,359213136,278,0.35,15.9,18.0,0.493,1197,7617,40716,24070,946,"Murrindindi (S)",6691393,31493,50,596,13.2,null,6.8,1.89,20.5,31.8,5.46,7733,7.8,2150,0.12,1.5,59,1.9,14462,2024,0.7,41,16.9,126,31,306,44,37674,301235969,68.5,5550,54,25.3,14924,2016,2.7,15.3,7031,6397,47090
23.1,143,129966693,22.5,"25710",2507,24.0,46,1877,1129,805,47,360605286,10,3244,68328,246,23.4,2671367270,1267,0.38,16.5,26.2,0.471,1204,11721,51480,26902,2510,"Nillumbik (S)",34084579,35782,506,912,7.3,null,9.1,1.92,20.9,32.4,5.03,39096,7.9,4258,0.18,4.7,59,1.4,23296,5579,0.4,66,116.1,246,80,486,43,52439,2280076799,74.2,30767,48,22.0,18351,2016,7.2,31.0,11399,35098,64963
